ASIN List,Campaign Id,Campaign Name,Brand Name,Campaign Start Date,Campaign End Date,Commission Rate,Campaign Budget,Budget Remaining,Available Slot,Total Slot,Recommended
"[B0F1MBLW8P, B0F1MD4SZ1, B0F1MCGNNP, B0F1MLTH81, B0F1MCGNNQ, B0F1MB2YRH, B0F1MDYYBX, B0F1MD4W4Q, B0F1MMGGMG, B0F1MLCKKN, B0F1MFPJ19, B0F1MD6GY4, B0F1MDZY85, B0F1MDL28Y, B0F1M9M497, B0F1MB2K2J, B0F1MDG8CX, B0F1ML97T2, B0F1MDHQMB, B0F1MLVNMD, B0F1MCDQ5N, B0F1MP5MH8, B0F1M99FDX, B0F1MM11B6, B0F1M9WKVS, B0F1MDKXS4, B0F1M9S75R, B0F1MDR73C, B0F1M9JS3L, B0F1MBG1RQ, B0F1M98V7D, B0F1MBHD45, B0F1MDC4BW, B0F1MM2WVT, B0F1MDK2KD, B0F1MP8LRN, B0F1MM31K6, B0F1MB38PB, B0F1MM3SZG, B0F1MP8LRM, B0F1MMG7GJ, B0F1MDMPC8, B0F1ML7QMX, B0F1M9VG61, B0F1MB39RH, B0F1M9H6FQ, B0F1MD9B2P, B0F1MNJ1NZ, B0F1MLFMM2, B0F1MDJYRG, B0F1MDDH5R, B0F1MKRFGK, B0F1MNSTTW, B0F1MLQZ98, B0F1MD98RG, B0F1MC3QG1, B0F1MN1CX8, B0F1MBYKW2, B0F1M9HT5Z, B0F1MMDBPZ, B0F1MLZFKP, B0F1MKRSJJ, B0F1MMT2JP, B0F1M734FH, B0F1MBYZCK, B0F1M9W549, B0F1MCD8NX, B0F1MF19TF, B0F1MCGBN1, B0F1MKKG6J, B0F1MCS3GS, B0F1MDKZ7L, B0F1MDCF42, B0F1MCWFQM, B0F1MB6M5G]",amzn1.campaign.6QAH083KYKWD,Football/Baseball/Soccer Initial Elastic Jewelry Gifts for Boys Men,KLIFOWDY,2026-07-13,2026-10-31,10.00%,5000.0,4994.5,35,800,false
"[B0F66KRG1M, B0F9WF7F54, B0G4QCMDZK, B0G1B5M8TH]",amzn1.campaign.IJUN93RJXGVD,$12.99+ HOPOW Outlet Extender Surge Protector+ Get 10% Commission,HOPOW,2026-07-13,2026-09-30,10.00%,5000.0,5000.0,42,800,false
"[B0GVNB3QTX, B0GVNGBXZS, B0GVN6SH9K, B0GVNJ6H37, B0GVN6WHFD, B0GVNGMZZP]",amzn1.campaign.457QKYTRHX27,Women Breathable Mid Rise Straight Leg Jeans for Commute Business Casual | 15%,Tenfinordi,2026-07-13,2026-12-20,15.00%,5000.0,5000.0,74,800,false
"[B0GFT63WZJ, B0GVF2TKPV, B0GVDXGZM5]",amzn1.campaign.CLMEYOKM41G4,Amazon lip balm tubes Content Creator Collaboration Program,Pilloze,2026-07-16,2026-12-07,20.00%,5000.0,5000.0,93,800,false
"[B0FKMVFXX4, B0D7Q7MQT4, B0DFHG66TH, B0D7Q6Y6JT, B0DFHGC5P6, B0F9NXFC1K, B0FKMW84JM, B0DFHBFJK9, B0FKMW99M7, B0D7Q92NR8, B0DFHF2BW9, B0F9NRG66Q, B0DFHFP4CN, B0D7Q5M9X2, B0FKMXD5VC, B0D7Q5M9Y8, B0D7Q9LRZT, B0F9NTYGSY, B0DFHDS6ZK, B0DFHCQZQ1, B0D7Q93CLB, B0D7Q68CZN, B0D7Q8DB2P, B0DM4SL63N, B0D7Q7HPFD, B0DFHBGHZ9, B0F9NTWWLD, B0F9NTZXQF, B0D7Q8WR1X, B0DM4VSSJP, B0DM4PPQ86, B0DFHFFZVC, B0D7Q7N5H6, B0D7Q8HPRK, B0D7Q5BL7C, B0DFHBK7XS, B0DFHF8QHB, B0D7Q94P4Q, B0DFHDZJ9P, B0FKMPSLKX, B0D7Q5K7PP, B0D7Q6VR31, B0DFHGP4PT, B0D7Q88D55, B0D7SF16CB, B0D7Q8WP2Y, B0D7Q76HWF, B0DFHG73TR, B0F9NR6GK3, B0D7Q577H3, B0FKN2W2SQ, B0D7Q64NQZ, B0D7Q937B5, B0DFHFK4P6]",amzn1.campaign.1PJOHMXOAFE90,💃 Start Earning – LEACOOLKEY Boho Disc Belt – 10% Com,LEACOOLKEY,2026-07-13,2026-09-11,10.00%,5000.0,5000.0,72,800,false
"[B0DDCK3RSF, B0D7W3MG1J, B0DFKRPSDX, B0DDCJY4SR, B0DFKVF6W1, B0DFKLPYQ4, B0DFL5ZBH2, B0CZRM7VJZ, B0DFKXR1HR, B0DBCFQWNH, B0DFKZ2V87, B0D7W2S5YQ, B0D7W5RCFZ, B0DFKPHN7P, B0CZRN36R7, B0DFKPY5XQ]",amzn1.campaign.1C1AMQFR8KE3V,15% Commission_ micuco Hoop Earrings for Women,micuco,2026-07-13,2027-07-13,15.00%,5000.0,3648.78,14,800,false
"[B0DDTTH1QL, B0FG7YBGX4, B0FG818DGM, B0FG82HJ66, B0FG7ZRD72]",amzn1.campaign.ES3NGNNS0NW1,"TKOOFN 10 Pack Sketch Book 8.5×11 inch, Spiral Sketch Best Perfect Gift!",TKOOFN,2026-07-13,2026-10-31,20.00%,5000.0,4959.2,34,800,false
"[B0GFT63WZJ, B0GVF2TKPV, B0GVDXGZM5]",amzn1.campaign.21A6ER6JXL1CX,Amazon lip balm tubes Content Creator Collaboration Program,Pilloze,2026-07-16,2026-12-05,20.00%,5000.0,5000.0,85,800,false
"[B0FH6BN8QM, B0FH69XRWV, B0H11N6KPM, B0FH6BG25C, B0FH6BBW6X, B0FH6B96DW, B0FH6BFFGT, B0FH6C3P59, B0FH6B8J4J, B0FH69SK2N, B0FH6BVYR8, B0FH6D6241, B0FH6BG2YN, B0FH6C1X2P, B0FH6B9HXK, B0FH6BLWWZ, B0FH6D32T6, B0FH68PSP4, B0FH6BC8Q3, B0H11K9D9P, B0FH6BG764, B0FH69YV78, B0H11L95HD, B0FH6C3PVT, B0FH6CDCB7, B0FH6BTVPM, B0FH6BMV6M, B0H11WN73W]",amzn1.campaign.2PNWAZ2A0HXNX,Men's Hiking Pants Convertible Lightweight Fishing Pants,NATUVENIX,2026-07-13,2027-04-26,10.00%,5000.0,5000.0,89,800,false
[B0FVFL3WNY],amzn1.campaign.3KHXAP44N702M,"LIIFE Chelated Copper (Albion™), Essential Trace Mineral, 10% commission",LIIFE,2026-07-13,2026-12-31,10.00%,5000.0,5000.0,39,800,false
